T (K)                P (бар)
100                  0.000000001
110                  0.000000002
120                  0.000000004
130                  0.000000008
140                  0.000000015
150                  0.00000003
160                  0.00000005
170                  0.0000001
180                  0.0000002
190                  0.0000004
200                  0.0000008
210                  0.0000015
220                  0.000003
230                  0.000005
240                  0.00001
250                  0.00002
260                  0.00004
270                  0.00008
280                  0.00015
290                  0.0003
300                  0.0006
310                  0.0012
320                  0.0023
330                  0.0045
340                  0.0087
350                  0.0168
360                  0.0325
370                  0.0627
380                  0.121
390                  0.232
400                  0.446
410                  0.855
420                  1.63
430                  3.11
440                  5.93
450                  11.3
460                  21.4
470                  40.7
480                  77.3
490                  147
500                  280
510                  532
520                  1010
530                  1900
540                  3590
550                  6770
560                  12700
570                  23900
580                  44900
590                  84400
600                  159000
610                  299000
620                  562000
630                  1050000
640                  1970000
650                  3690000
660                  6910000
670                  12900000
680                  24100000
690                  44900000
700                  83800000
710                  156000000
720                  291000000
730                  543000000
740                  1010000000
750                  1890000000
760                  3530000000
770                  6590000000
780                  12300000000
790                  23000000000
800                  43100000000
810                  80600000000
820                  151000000000
830                  283000000000
840                  530000000000
850                  1000000000000
860                  1880000000000
870                  3520000000000
880                  6600000000000
890                  12400000000000
900                  23200000000000
910                  43400000000000
920                  81300000000000
930                  152000000000000
940                  285000000000000
950                  533000000000000
960                  1000000000000000
970                  1880000000000000
980                  3520000000000000
990                  6600000000000000
1000                 12400000000000000
1010                 23200000000000000
1020                 43400000000000000
1030                 81300000000000000
1040                 152000000000000000
1050                 285000000000000000
1060                 533000000000000000
1070                 1000000000000000000
1080                 1880000000000000000
1090                 3520000000000000000
1100                 6600000000000000000
